,Date (LST),Year,Month,Day,Hour,Value,QC Name
211,1/9/2016 19:00,2016,1,9,19,102,Valid
212,1/9/2016 20:00,2016,1,9,20,144,Valid
213,1/9/2016 21:00,2016,1,9,21,173,Valid
214,1/9/2016 22:00,2016,1,9,22,164,Valid
215,1/9/2016 23:00,2016,1,9,23,124,Valid
216,1/10/2016 0:00,2016,1,10,0,83,Valid
217,1/10/2016 1:00,2016,1,10,1,70,Valid
218,1/10/2016 2:00,2016,1,10,2,61,Valid
219,1/10/2016 3:00,2016,1,10,3,44,Valid
220,1/10/2016 4:00,2016,1,10,4,28,Valid
221,1/10/2016 5:00,2016,1,10,5,25,Valid
222,1/10/2016 6:00,2016,1,10,6,26,Valid
223,1/10/2016 7:00,2016,1,10,7,25,Valid
224,1/10/2016 8:00,2016,1,10,8,16,Valid
225,1/10/2016 9:00,2016,1,10,9,24,Valid
226,1/10/2016 10:00,2016,1,10,10,39,Valid
227,1/10/2016 11:00,2016,1,10,11,43,Valid
228,1/10/2016 12:00,2016,1,10,12,55,Valid
229,1/10/2016 13:00,2016,1,10,13,63,Valid
230,1/10/2016 14:00,2016,1,10,14,50,Valid
231,1/10/2016 15:00,2016,1,10,15,74,Valid
232,1/10/2016 16:00,2016,1,10,16,69,Valid
233,1/10/2016 17:00,2016,1,10,17,67,Valid
234,1/10/2016 18:00,2016,1,10,18,68,Valid
235,1/10/2016 19:00,2016,1,10,19,69,Valid
236,1/10/2016 20:00,2016,1,10,20,76,Valid
237,1/10/2016 21:00,2016,1,10,21,29,Valid
238,1/10/2016 22:00,2016,1,10,22,20,Valid
239,1/10/2016 23:00,2016,1,10,23,16,Valid
240,1/11/2016 0:00,2016,1,11,0,15,Valid
241,1/11/2016 1:00,2016,1,11,1,17,Valid
242,1/11/2016 2:00,2016,1,11,2,9,Valid
243,1/11/2016 3:00,2016,1,11,3,9,Valid
244,1/11/2016 4:00,2016,1,11,4,11,Valid
245,1/11/2016 5:00,2016,1,11,5,10,Valid
246,1/11/2016 6:00,2016,1,11,6,10,Valid
247,1/11/2016 7:00,2016,1,11,7,12,Valid
248,1/11/2016 8:00,2016,1,11,8,13,Valid
249,1/11/2016 9:00,2016,1,11,9,13,Valid
250,1/11/2016 10:00,2016,1,11,10,11,Valid
251,1/11/2016 11:00,2016,1,11,11,14,Valid
252,1/11/2016 12:00,2016,1,11,12,10,Valid
253,1/11/2016 13:00,2016,1,11,13,9,Valid
254,1/11/2016 14:00,2016,1,11,14,8,Valid
255,1/11/2016 15:00,2016,1,11,15,10,Valid
256,1/11/2016 16:00,2016,1,11,16,9,Valid
257,1/11/2016 17:00,2016,1,11,17,12,Valid
258,1/11/2016 18:00,2016,1,11,18,8,Valid
259,1/11/2016 19:00,2016,1,11,19,12,Valid
260,1/11/2016 20:00,2016,1,11,20,18,Valid
261,1/11/2016 21:00,2016,1,11,21,12,Valid
262,1/11/2016 22:00,2016,1,11,22,17,Valid
263,1/11/2016 23:00,2016,1,11,23,15,Valid
264,1/12/2016 0:00,2016,1,12,0,14,Valid
265,1/12/2016 1:00,2016,1,12,1,15,Valid
266,1/12/2016 2:00,2016,1,12,2,13,Valid
267,1/12/2016 3:00,2016,1,12,3,11,Valid
268,1/12/2016 4:00,2016,1,12,4,8,Valid
269,1/12/2016 5:00,2016,1,12,5,9,Valid
270,1/12/2016 6:00,2016,1,12,6,14,Valid
271,1/12/2016 7:00,2016,1,12,7,19,Valid
272,1/12/2016 8:00,2016,1,12,8,24,Valid
273,1/12/2016 9:00,2016,1,12,9,30,Valid
274,1/12/2016 10:00,2016,1,12,10,15,Valid
275,1/12/2016 11:00,2016,1,12,11,9,Valid
276,1/12/2016 12:00,2016,1,12,12,9,Valid
277,1/12/2016 13:00,2016,1,12,13,8,Valid
278,1/12/2016 14:00,2016,1,12,14,10,Valid
279,1/12/2016 15:00,2016,1,12,15,8,Valid
280,1/12/2016 16:00,2016,1,12,16,6,Valid
281,1/12/2016 17:00,2016,1,12,17,5,Valid
282,1/12/2016 18:00,2016,1,12,18,12,Valid
283,1/12/2016 19:00,2016,1,12,19,14,Valid
284,1/12/2016 20:00,2016,1,12,20,21,Valid
285,1/12/2016 21:00,2016,1,12,21,15,Valid
286,1/12/2016 22:00,2016,1,12,22,14,Valid
287,1/12/2016 23:00,2016,1,12,23,12,Valid
288,1/13/2016 0:00,2016,1,13,0,12,Valid
289,1/13/2016 1:00,2016,1,13,1,10,Valid
290,1/13/2016 2:00,2016,1,13,2,8,Valid
291,1/13/2016 3:00,2016,1,13,3,7,Valid
292,1/13/2016 4:00,2016,1,13,4,7,Valid
293,1/13/2016 5:00,2016,1,13,5,6,Valid
294,1/13/2016 6:00,2016,1,13,6,12,Valid
295,1/13/2016 7:00,2016,1,13,7,16,Valid
296,1/13/2016 8:00,2016,1,13,8,24,Valid
297,1/13/2016 9:00,2016,1,13,9,20,Valid
298,1/13/2016 10:00,2016,1,13,10,23,Valid
299,1/13/2016 11:00,2016,1,13,11,23,Valid
300,1/13/2016 12:00,2016,1,13,12,15,Valid
301,1/13/2016 13:00,2016,1,13,13,13,Valid
302,1/13/2016 14:00,2016,1,13,14,15,Valid
303,1/13/2016 15:00,2016,1,13,15,11,Valid
304,1/13/2016 16:00,2016,1,13,16,18,Valid
305,1/13/2016 17:00,2016,1,13,17,19,Valid
306,1/13/2016 18:00,2016,1,13,18,29,Valid
307,1/13/2016 19:00,2016,1,13,19,35,Valid
308,1/13/2016 20:00,2016,1,13,20,36,Valid
309,1/13/2016 21:00,2016,1,13,21,45,Valid
310,1/13/2016 22:00,2016,1,13,22,48,Valid
311,1/13/2016 23:00,2016,1,13,23,51,Valid
312,1/14/2016 0:00,2016,1,14,0,44,Valid
313,1/14/2016 1:00,2016,1,14,1,39,Valid
314,1/14/2016 2:00,2016,1,14,2,38,Valid
315,1/14/2016 3:00,2016,1,14,3,47,Valid
316,1/14/2016 4:00,2016,1,14,4,41,Valid
317,1/14/2016 5:00,2016,1,14,5,40,Valid
318,1/14/2016 6:00,2016,1,14,6,32,Valid
319,1/14/2016 7:00,2016,1,14,7,47,Valid
320,1/14/2016 8:00,2016,1,14,8,78,Valid
321,1/14/2016 9:00,2016,1,14,9,111,Valid
322,1/14/2016 10:00,2016,1,14,10,132,Valid
323,1/14/2016 11:00,2016,1,14,11,85,Valid
324,1/14/2016 12:00,2016,1,14,12,84,Valid
325,1/14/2016 13:00,2016,1,14,13,78,Valid
326,1/14/2016 14:00,2016,1,14,14,47,Valid
327,1/14/2016 15:00,2016,1,14,15,30,Valid
328,1/14/2016 16:00,2016,1,14,16,29,Valid
329,1/14/2016 17:00,2016,1,14,17,80,Valid
330,1/14/2016 18:00,2016,1,14,18,90,Valid
331,1/14/2016 19:00,2016,1,14,19,88,Valid
332,1/14/2016 20:00,2016,1,14,20,95,Valid
333,1/14/2016 21:00,2016,1,14,21,109,Valid
334,1/14/2016 22:00,2016,1,14,22,120,Valid
335,1/14/2016 23:00,2016,1,14,23,134,Valid
336,1/15/2016 0:00,2016,1,15,0,150,Valid
337,1/15/2016 1:00,2016,1,15,1,164,Valid
338,1/15/2016 2:00,2016,1,15,2,159,Valid
339,1/15/2016 3:00,2016,1,15,3,116,Valid
340,1/15/2016 4:00,2016,1,15,4,126,Valid
341,1/15/2016 5:00,2016,1,15,5,128,Valid
342,1/15/2016 6:00,2016,1,15,6,132,Valid
343,1/15/2016 7:00,2016,1,15,7,146,Valid
344,1/15/2016 8:00,2016,1,15,8,82,Valid
345,1/15/2016 9:00,2016,1,15,9,74,Valid
346,1/15/2016 10:00,2016,1,15,10,63,Valid
347,1/15/2016 11:00,2016,1,15,11,59,Valid
348,1/15/2016 12:00,2016,1,15,12,50,Valid
349,1/15/2016 13:00,2016,1,15,13,76,Valid
350,1/15/2016 14:00,2016,1,15,14,86,Valid
351,1/15/2016 15:00,2016,1,15,15,81,Valid
352,1/15/2016 16:00,2016,1,15,16,88,Valid
353,1/15/2016 17:00,2016,1,15,17,89,Valid
354,1/15/2016 18:00,2016,1,15,18,102,Valid
355,1/15/2016 19:00,2016,1,15,19,112,Valid
356,1/15/2016 20:00,2016,1,15,20,115,Valid
357,1/15/2016 21:00,2016,1,15,21,193,Valid
358,1/15/2016 22:00,2016,1,15,22,230,Valid
359,1/15/2016 23:00,2016,1,15,23,222,Valid
360,1/16/2016 0:00,2016,1,16,0,155,Valid
361,1/16/2016 1:00,2016,1,16,1,142,Valid
362,1/16/2016 2:00,2016,1,16,2,117,Valid
363,1/16/2016 3:00,2016,1,16,3,106,Valid
364,1/16/2016 4:00,2016,1,16,4,94,Valid
365,1/16/2016 5:00,2016,1,16,5,88,Valid
366,1/16/2016 6:00,2016,1,16,6,82,Valid
367,1/16/2016 7:00,2016,1,16,7,90,Valid
368,1/16/2016 8:00,2016,1,16,8,93,Valid
369,1/16/2016 9:00,2016,1,16,9,96,Valid
370,1/16/2016 10:00,2016,1,16,10,108,Valid
371,1/16/2016 11:00,2016,1,16,11,109,Valid
372,1/16/2016 12:00,2016,1,16,12,93,Valid
373,1/16/2016 13:00,2016,1,16,13,121,Valid
374,1/16/2016 14:00,2016,1,16,14,112,Valid
375,1/16/2016 15:00,2016,1,16,15,116,Valid
376,1/16/2016 16:00,2016,1,16,16,141,Valid
377,1/16/2016 17:00,2016,1,16,17,136,Valid
378,1/16/2016 18:00,2016,1,16,18,139,Valid
379,1/16/2016 19:00,2016,1,16,19,151,Valid
380,1/16/2016 20:00,2016,1,16,20,144,Valid
381,1/16/2016 21:00,2016,1,16,21,152,Valid
382,1/16/2016 22:00,2016,1,16,22,149,Valid
